% DNS of turbulent channel flow at Re_b=10000 using SIMSON on Fritz, NHR@FAU.
% Domain size Lx=8*pi*H, Lz=3*pi*H
% grid size: 1440*161*864
% all quantities are reported in outer units, i.e., normalized by bulk velocity, Ub, and channel half-height, H.
% y, U, V, W, u'u', v'v', w'w', u'v', u'w', v'w', dU/dy
  -9.0814317e-01	   8.0835158e-01	  -1.0142915e-20	   2.8570203e-05	   1.2508569e-02	   2.9466774e-03	   5.4726508e-03	  -2.5446844e-03	   4.1882565e-07	  -2.2047540e-06	   1.4217876e+00	
  -8.9974828e-01	   8.1965536e-01	   8.4743095e-21	   1.0636113e-05	   1.1892667e-02	   3.0256617e-03	   5.4183899e-03	  -2.5347520e-03	   3.6468052e-06	  -3.1083857e-06	   1.2777447e+00	
  -8.9100652e-01	   8.3029852e-01	   2.3000585e-20	  -8.0918058e-06	   1.1363735e-02	   3.0838375e-03	   5.3517193e-03	  -2.5207871e-03	   6.4692348e-06	  -3.7399323e-06	   1.1620614e+00	
  -8.8192126e-01	   8.4041025e-01	  -1.4846020e-20	  -2.6896697e-05	   1.0909264e-02	   3.1239583e-03	   5.2758667e-03	  -2.5035714e-03	   8.5354367e-06	  -4.0152913e-06	   1.0675828e+00	
  -8.7249601e-01	   8.5009169e-01	   2.3383014e-20	  -4.4229229e-05	   1.0515662e-02	   3.1487470e-03	   5.1930537e-03	  -2.4834792e-03	   9.7826386e-06	  -4.1155750e-06	   9.8970769e-01	
  -8.6273439e-01	   8.5942382e-01	   1.2024819e-21	  -5.8990590e-05	   1.0170322e-02	   3.1606517e-03	   5.1050535e-03	  -2.4609636e-03	   1.0375768e-05	  -4.0798461e-06	   9.2436427e-01	
  -8.5264016e-01	   8.6846093e-01	   2.8434601e-21	  -7.4015144e-05	   9.8649096e-03	   3.1618304e-03	   5.0130830e-03	  -2.4366844e-03	   1.0184542e-05	  -3.5989059e-06	   8.6783554e-01	
  -8.4221723e-01	   8.7724379e-01	  -2.1249848e-20	  -9.2480104e-05	   9.5914722e-03	   3.1539923e-03	   4.9193163e-03	  -2.4106396e-03	   9.4770981e-06	  -2.7744576e-06	   8.1882042e-01	
  -8.3146961e-01	   8.8580543e-01	  -5.0813710e-21	  -1.1061704e-04	   9.3431225e-03	   3.1387589e-03	   4.8257158e-03	  -2.3829075e-03	   8.4755673e-06	  -1.9429096e-06	   7.7546346e-01	
  -8.2040144e-01	   8.9417134e-01	  -1.6254691e-20	  -1.2207710e-04	   9.1136008e-03	   3.1176253e-03	   4.7333490e-03	  -2.3537923e-03	   7.3568323e-06	  -1.3979040e-06	   7.3726191e-01	
  -8.0901699e-01	   9.0236775e-01	   6.6531330e-21	  -1.2655768e-04	   8.8986493e-03	   3.0917733e-03	   4.6425746e-03	  -2.3232109e-03	   6.3966443e-06	  -1.0164609e-06	   7.0347578e-01	
  -7.9732065e-01	   9.1041556e-01	   2.9597428e-20	  -1.2893507e-04	   8.6956937e-03	   3.0621549e-03	   4.5522124e-03	  -2.2914438e-03	   5.9375387e-06	  -7.8232762e-07	   6.7330973e-01	
